CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;4;2;60;12;9;0;4
01:00;3;2;60;11;9;0;3
02:00;5;1;56;13;11;0;5
03:00;5;1;55;11;8;0;5
04:00;4;1;55;10;9;0;4
05:00;4;1;56;13;10;0;4
06:00;9;1;54;12;7;1;10
07:00;10;1;52;12;4;1;12
08:00;12;1;48;14;4;2;15
09:00;13;1;48;17;4;2;17
10:00;14;1;46;15;10;2;16
11:00;17;1;43;13;8;3;21
12:00;17;1;43;14;7;3;22
13:00;14;2;49;16;8;3;19
14:00;17;1;48;19;13;3;21
15:00;20;1;47;15;13;3;24
16:00;24;2;42;13;10;4;29
17:00;24;1;45;13;7;3;29
18:00;20;2;50;14;5;2;23
19:00;19;2;48;12;5;2;23
20:00;25;2;42;10;7;4;31
21:00;11;2;54;10;7;0;11
22:00;7;2;56;12;7;0;7
23:00;6;2;59;11;8;0;6
