CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;35;5;1;51;41;82;160
01:00;33;5;1;47;31;142;249
02:00;26;3;1;47;35;24;62
03:00;24;3;1;36;29;21;55
04:00;22;3;3;29;20;12;40
05:00;26;3;1;35;25;34;77
06:00;29;4;2;40;30;63;125
07:00;29;4;1;46;26;42;93
08:00;30;4;2;46;26;64;127
09:00;32;4;2;40;27;71;140
10:00;32;4;2;47;29;75;145
11:00;31;4;6;39;23;57;116
12:00;30;5;19;26;22;28;72
13:00;18;4;48;22;7;10;34
14:00;21;3;50;23;9;8;33
15:00;23;3;49;21;13;8;35
16:00;44;3;23;;;16;68
17:00;64;4;4;;;50;140
18:00;66;4;3;;;68;169
19:00;63;4;3;;;42;127
20:00;58;4;2;;;61;150
21:00;55;5;2;;;90;192
22:00;49;5;1;;;100;201
23:00;43;4;1;;;76;158
