CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;76;34;19;220;179;127;269
01:00;48;26;15;;;22;82
02:00;46;27;13;121;94;9;59
03:00;42;22;14;112;97;12;60
04:00;34;17;14;109;89;7;44
05:00;32;21;18;99;82;4;38
06:00;42;15;13;96;78;45;109
07:00;48;13;8;95;77;82;172
08:00;44;11;9;88;72;34;96
09:00;44;14;13;87;69;31;91
10:00;44;16;22;88;69;25;82
11:00;42;15;25;85;52;20;73
12:00;41;16;33;88;43;15;63
13:00;41;16;44;88;67;12;59
14:00;44;16;53;94;73;9;58
15:00;41;15;65;92;71;5;48
16:00;41;12;64;92;70;3;45
17:00;46;11;57;94;69;1;48
18:00;54;14;50;104;69;2;56
19:00;60;15;43;117;80;2;62
20:00;62;18;42;123;88;2;65
21:00;79;17;25;133;103;34;130
22:00;82;24;22;151;113;37;138
23:00;88;23;20;174;140;162;335
