CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;2;46;6;3;1;11
01:00;12;2;32;16;7;0;13
02:00;8;2;29;3;3;0;8
03:00;6;2;33;3;3;0;7
04:00;7;2;31;3;3;1;9
05:00;7;3;31;5;3;0;8
06:00;11;2;27;7;3;4;17
07:00;14;2;23;11;5;5;23
08:00;19;2;16;18;6;13;40
09:00;17;3;21;10;4;13;38
10:00;15;2;26;8;3;11;33
11:00;11;3;33;17;4;6;22
12:00;10;2;37;17;4;5;19
13:00;10;2;37;18;3;7;21
14:00;10;3;39;18;8;6;20
15:00;10;2;40;17;4;6;19
16:00;14;2;36;12;6;6;23
17:00;17;2;34;22;10;8;31
18:00;19;2;31;27;10;9;32
19:00;18;2;26;18;9;8;31
20:00;20;2;19;13;10;10;36
21:00;20;3;18;15;12;5;29
22:00;18;2;24;14;13;4;24
23:00;15;3;32;9;7;3;20
