CZAS;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5
00:00;20;47;13;6
01:00;22;89;16;3
02:00;23;83;76;53
03:00;23;59;75;58
04:00;6;7;81;55
05:00;5;5;84;57
06:00;6;7;109;62
07:00;9;8;139;71
08:00;13;24;111;62
09:00;16;32;122;59
10:00;;29;134;61
11:00;;29;94;53
12:00;;38;74;38
13:00;;60;36;19
14:00;;67;22;12
15:00;;66;28;13
16:00;;69;34;15
17:00;;66;37;14
18:00;;52;69;20
19:00;;21;43;21
20:00;;20;14;11
21:00;;34;6;
22:00;;44;17;9
23:00;;45;11;9
