CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;47;4;4;17;12;15;70
01:00;39;4;3;22;11;29;83
02:00;16;4;28;26;13;1;18
03:00;11;4;26;21;12;0;11
04:00;12;4;26;20;13;0;12
05:00;9;3;29;16;13;1;10
06:00;12;4;30;14;10;0;12
07:00;18;3;23;12;10;3;23
08:00;30;4;13;12;11;8;42
09:00;30;4;15;12;10;8;41
10:00;17;4;28;14;12;3;21
11:00;15;4;34;15;9;2;17
12:00;10;4;39;12;6;1;11
13:00;12;6;41;9;8;1;13
14:00;11;6;44;13;8;1;13
15:00;12;5;45;12;11;1;14
16:00;15;7;44;13;8;2;18
17:00;10;6;53;8;3;0;10
18:00;10;6;54;7;3;0;10
19:00;29;4;36;14;9;5;36
20:00;34;4;26;20;10;6;43
21:00;40;4;15;17;11;9;54
22:00;48;4;5;12;10;19;76
23:00;51;3;4;16;9;12;69
