CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;7;44;20;129;229
01:00;26;7;42;19;129;224
02:00;35;3;20;11;25;73
03:00;27;8;17;8;7;38
04:00;28;5;15;7;6;39
05:00;29;3;14;9;34;81
06:00;27;2;15;9;68;132
07:00;27;4;21;11;130;226
08:00;33;4;24;11;149;262
09:00;31;4;17;8;48;104
10:00;23;12;12;5;17;49
11:00;27;11;12;4;18;53
12:00;19;21;10;9;9;33
13:00;15;28;12;9;6;25
14:00;17;33;10;7;6;26
15:00;15;37;9;7;4;21
16:00;;39;8;6;;
17:00;17;;9;6;4;23
18:00;22;35;12;5;5;30
19:00;31;26;16;5;7;42
20:00;55;4;25;13;44;123
21:00;45;4;33;16;18;73
22:00;43;5;38;17;66;144
23:00;38;5;37;16;111;207
