CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;53;52;29;2;27
01:00;21;45;50;29;3;25
02:00;47;8;43;21;104;205
03:00;44;9;43;19;67;147
04:00;25;25;35;19;7;35
05:00;28;16;37;21;36;83
06:00;30;7;31;20;78;149
07:00;30;8;43;21;135;236
08:00;40;8;;21;141;255
09:00;42;14;45;24;39;101
10:00;30;35;42;21;9;43
11:00;23;53;39;18;4;29
12:00;15;72;37;15;1;17
13:00;10;88;41;13;0;11
14:00;14;90;30;13;1;16
15:00;14;100;27;15;1;16
16:00;11;115;28;13;0;12
17:00;12;117;29;14;0;12
18:00;11;118;27;16;0;11
19:00;11;111;33;15;0;12
20:00;25;89;49;22;1;26
21:00;28;76;59;33;2;31
22:00;29;68;53;30;2;33
23:00;31;59;55;31;2;34
