CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;14;3;2;46;31;130;214
01:00;23;3;2;34;30;25;60
02:00;14;2;2;23;20;43;81
03:00;15;2;2;20;19;25;53
04:00;15;2;3;20;18;15;40
05:00;17;1;2;15;14;11;35
06:00;9;2;2;22;17;57;97
07:00;6;2;2;22;19;88;140
08:00;19;4;4;29;24;44;86
09:00;22;5;11;33;27;19;53
10:00;26;6;18;32;27;17;53
11:00;20;8;38;23;17;6;29
12:00;13;6;57;16;10;1;15
13:00;11;5;70;14;8;1;14
14:00;10;7;68;15;10;0;11
15:00;8;7;78;12;9;0;8
16:00;7;4;81;10;6;1;10
17:00;9;5;78;10;7;1;11
18:00;7;5;82;8;3;0;8
19:00;7;2;79;10;4;0;8
20:00;32;1;35;17;8;1;33
21:00;35;2;32;;;0;35
22:00;;;;;;;
23:00;;;;;;;
