CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;21;9;28;16;12;38
01:00;13;7;12;10;6;20
02:00;13;9;38;19;4;20
03:00;13;8;34;18;3;18
04:00;16;7;37;20;6;24
05:00;14;7;33;15;6;23
06:00;17;6;35;16;36;72
07:00;24;5;32;14;43;90
08:00;25;5;28;12;35;80
09:00;36;5;27;14;56;121
10:00;;5;25;12;;
11:00;23;;16;9;22;56
12:00;13;17;8;7;6;20
13:00;18;17;12;6;8;28
14:00;16;19;11;9;7;25
15:00;19;19;14;8;8;30
16:00;24;23;17;8;9;37
17:00;30;24;14;8;11;45
18:00;32;23;12;7;9;44
19:00;39;17;14;9;11;55
20:00;32;18;24;14;9;45
21:00;29;16;28;15;9;42
22:00;22;13;37;16;8;33
23:00;19;11;33;18;10;33
