CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;4;19;10;4;19
01:00;6;4;21;8;3;11
02:00;24;3;34;20;8;36
03:00;28;3;30;17;9;41
04:00;25;3;25;13;9;39
05:00;28;3;24;13;11;45
06:00;25;3;28;13;10;40
07:00;;;28;12;;
08:00;21;2;28;10;17;47
09:00;20;1;34;13;29;64
10:00;38;2;37;19;38;96
11:00;25;2;31;14;19;54
12:00;35;2;19;10;15;57
13:00;22;1;15;7;6;32
14:00;;;18;11;;
15:00;25;3;15;10;5;33
16:00;26;3;19;11;6;35
17:00;16;3;26;11;2;20
18:00;22;3;30;17;3;27
19:00;34;3;41;21;7;45
20:00;26;3;45;25;5;34
21:00;31;3;41;24;7;42
22:00;27;3;39;;7;38
23:00;23;3;30;;6;32
