CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;9;42;23;105;198
01:00;31;10;29;17;11;49
02:00;11;35;9;3;2;15
03:00;10;31;7;3;2;13
04:00;8;38;6;3;1;10
05:00;9;37;8;3;1;11
06:00;16;28;11;3;4;24
07:00;25;19;17;5;9;39
08:00;32;16;;7;17;57
09:00;33;16;;7;18;61
10:00;22;24;12;7;11;40
11:00;20;28;13;5;7;31
12:00;22;32;11;4;6;31
13:00;25;34;16;5;7;36
14:00;22;40;14;5;6;32
15:00;20;50;12;5;4;26
16:00;23;54;12;5;4;29
17:00;27;57;13;7;4;34
18:00;33;54;18;9;6;42
19:00;51;37;18;10;10;67
20:00;84;8;37;11;61;177
21:00;75;7;42;17;113;248
22:00;57;8;49;23;137;266
23:00;46;9;50;26;142;263
