CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;73;12;38;24;67;176
01:00;75;53;217;173;51;154
02:00;77;59;;168;24;115
03:00;59;45;;146;7;70
04:00;56;41;;151;6;65
05:00;38;20;152;126;2;44
06:00;43;20;132;95;5;50
07:00;46;21;99;72;7;59
08:00;39;14;52;40;7;51
09:00;42;14;41;27;6;52
10:00;43;15;39;29;7;56
11:00;34;12;36;29;5;43
12:00;36;11;35;28;8;50
13:00;53;21;38;25;12;72
14:00;;26;34;26;;
15:00;;15;46;31;;
16:00;;15;46;32;;
17:00;;15;63;44;;
18:00;;12;52;39;;
19:00;;12;;35;;
20:00;;12;;38;;
21:00;;14;42;35;;
22:00;;12;39;31;;
23:00;100;11;40;27;66;201
