CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;60;67;2;233;194;42;124
01:00;34;46;15;81;72;5;42
02:00;30;40;17;74;65;4;36
03:00;27;38;20;68;58;4;33
04:00;27;36;20;70;57;3;32
05:00;33;37;15;78;61;5;41
06:00;35;38;12;78;64;7;46
07:00;35;36;13;62;52;12;55
08:00;36;33;17;48;41;13;57
09:00;37;34;17;46;43;15;59
10:00;35;40;17;57;51;17;61
11:00;33;50;17;73;65;19;63
12:00;30;54;20;87;70;19;60
13:00;35;59;21;93;76;19;64
14:00;36;;26;91;74;16;59
15:00;43;50;20;98;80;20;74
16:00;52;41;17;109;89;15;75
17:00;75;36;4;144;114;65;174
18:00;81;39;2;175;148;99;232
19:00;75;39;2;169;147;82;201
20:00;70;43;2;181;157;76;187
21:00;72;53;3;229;193;94;217
22:00;65;55;2;219;184;62;160
23:00;62;63;2;238;197;50;139
