CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55;9;58;32;48;128
01:00;44;8;47;28;36;99
02:00;29;6;;23;51;107
03:00;25;5;38;;49;100
04:00;26;4;33;;37;81
05:00;24;3;27;16;34;75
06:00;28;4;30;17;90;166
07:00;34;6;36;19;135;240
08:00;46;8;49;23;195;343
09:00;49;7;44;21;169;308
10:00;42;18;36;17;34;93
11:00;36;33;30;16;11;53
12:00;28;53;29;16;6;37
13:00;21;65;27;14;2;25
14:00;19;71;22;12;2;22
15:00;22;76;19;11;2;25
16:00;26;78;22;11;2;30
17:00;49;64;27;13;6;58
18:00;60;53;31;16;7;71
19:00;107;18;55;24;70;213
20:00;101;10;68;29;75;216
21:00;91;13;73;36;138;301
22:00;76;14;75;38;190;365
23:00;60;11;71;35;129;257
