CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;37;2;76;66;88;171
01:00;14;17;40;31;2;16
02:00;;20;35;23;;
03:00;9;;26;20;1;10
04:00;7;24;25;17;1;8
05:00;8;24;19;15;1;9
06:00;11;23;16;14;1;12
07:00;20;22;13;;2;22
08:00;27;20;17;;3;30
09:00;26;23;17;10;4;31
10:00;22;30;16;13;3;25
11:00;18;34;20;14;3;21
12:00;16;38;22;12;2;18
13:00;17;40;16;12;2;19
14:00;17;40;19;16;1;18
15:00;24;26;30;19;3;27
16:00;32;9;32;22;7;41
17:00;28;8;37;23;5;36
18:00;23;9;30;25;5;31
19:00;26;5;36;30;8;38
20:00;28;4;45;36;9;42
21:00;40;3;61;47;75;154
22:00;42;3;76;63;85;172
23:00;43;3;101;84;153;276
