CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55.0115;26.2924;5.33276;8.37998;185.853;151.891;161.641;300.7
01:00;38.3445;12.4194;3.42365;3.69492;111.527;88.3799;23.1069;73.5
02:00;38.2095;14.5305;3.59489;3.7752;137.485;116.229;20.2565;69
03:00;36.3332;11.6057;3.15433;3.77527;120.563;94.9874;15.4711;59.9
04:00;36.084;9.69881;3.51842;3.77562;102.698;84.1698;13.7735;57
05:00;30.0543;6.31633;6.59681;4.13763;87.0696;59.5119;3.25086;35
06:00;26.8585;4.82774;8.35297;4.708;79.0142;52.3382;1.5352;29.2
07:00;30.0027;4.5811;6.28426;4.94463;65.7609;48.9864;4.23599;36.4
08:00;33.5471;5.05016;5.23744;5.02035;74.6426;56.632;18.7525;62.1
09:00;26.536;3.88524;13.6109;6.29375;51.8311;42.1257;6.40231;36.3
10:00;17.8791;4.91788;27.6069;9.29525;39.26;31.4329;3.90692;23.8
11:00;13.4006;4.35362;37.5853;13.5991;38.03;24.1079;2.71465;17.5
12:00;15.8497;3.82779;38.0053;17.91;32.17;23.6456;2.81878;20.1
13:00;;;41.2638;22.2434;29.337;19.9208;;
14:00;15.5702;3.43549;45.2599;26.8567;36.7549;17.7075;1.80954;18.3
15:00;27.3235;16.153;35.9444;30.5642;43.7021;18.7398;5.23601;35.3
16:00;45.7606;23.3941;17.909;32.1482;54.287;28.6677;14.3315;67.5
17:00;51.9645;17.4798;12.4726;32.0059;63.1043;31.7495;13.4669;72.4
18:00;47.7575;4.84153;14.8395;30.41;45.9158;29.1391;8.8343;61.2
19:00;56.8751;5.97007;5.8232;26.4397;58.3379;37.6985;8.88938;70.4
20:00;48.7576;6.21828;10.3945;22.9884;56.0771;41.3465;10.3037;64.4
21:00;73.879;16.4655;5.89247;18.5669;110.787;86.6294;147.349;297.9
22:00;70.0658;25.4582;6.37016;13.7057;172.122;132.096;181.92;346.6
23:00;61.7538;24.0411;5.91463;9.95201;175.215;145.143;178.652;333.3
