CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;3;146;121;211;360
01:00;15;6;42;36;2;17
02:00;13;7;43;33;2;15
03:00;13;7;43;31;1;14
04:00;13;7;44;30;1;14
05:00;13;7;39;27;1;15
06:00;17;5;39;30;3;20
07:00;19;3;38;33;6;26
08:00;20;2;43;32;11;36
09:00;20;3;40;32;18;46
10:00;23;2;43;37;37;80
11:00;23;3;47;37;44;90
12:00;26;3;63;42;36;79
13:00;27;3;61;46;32;74
14:00;27;2;62;51;45;94
15:00;32;2;69;56;57;118
16:00;30;2;66;55;77;147
17:00;33;2;72;59;87;165
18:00;34;2;62;56;93;176
19:00;39;2;66;60;128;234
20:00;40;2;102;82;174;305
21:00;42;3;111;92;179;314
22:00;41;3;118;101;194;337
23:00;35;3;141;117;165;286
