CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;26;7;24;20;6;35
01:00;31;14;43;31;4;36
02:00;20;12;32;24;1;21
03:00;35;12;35;29;9;48
04:00;46;16;42;30;18;75
05:00;49;16;43;34;49;124
06:00;55;13;53;38;222;395
07:00;69;15;57;45;338;587
08:00;77;16;53;39;315;547
09:00;64;12;50;37;134;269
10:00;48;12;37;26;40;110
11:00;55;11;40;23;83;181
12:00;56;10;33;24;61;149
13:00;56;12;35;22;82;183
14:00;48;11;29;18;42;111
15:00;53;10;31;20;51;131
16:00;72;11;41;29;104;232
17:00;50;9;25;23;24;87
18:00;45;9;21;21;25;83
19:00;41;8;21;17;16;65
20:00;47;7;21;15;33;97
21:00;29;7;17;14;10;45
22:00;34;8;20;15;14;55
23:00;24;8;22;14;6;35
