CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;4;215;182;103;180
01:00;33;3;148;114;194;329
02:00;30;2;152;83;83;156
03:00;27;1;81;38;11;43
04:00;21;2;41;28;6;30
05:00;16;4;27;25;4;21
06:00;16;5;29;23;6;24
07:00;19;4;33;23;10;33
08:00;20;4;35;25;11;37
09:00;21;7;32;22;15;44
10:00;22;10;26;16;15;45
11:00;19;13;28;19;14;40
12:00;21;12;32;23;17;45
13:00;19;18;24;19;15;41
14:00;19;23;31;20;11;35
15:00;23;22;32;21;13;43
16:00;29;16;34;25;16;52
17:00;49;4;81;54;89;184
18:00;55;5;162;115;168;310
19:00;60;4;212;152;284;493
20:00;57;4;226;158;344;582
21:00;42;5;246;188;219;376
22:00;34;4;245;202;178;305
23:00;26;4;249;203;154;262
