CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;63;5;32;14;26;103
01:00;47;17;25;11;6;56
02:00;37;7;21;15;5;45
03:00;25;16;25;13;3;29
04:00;22;13;22;16;3;25
05:00;25;6;28;10;6;35
06:00;37;2;30;11;29;80
07:00;44;2;33;12;107;208
08:00;53;5;46;16;177;323
09:00;55;2;32;5;72;165
10:00;47;4;21;11;48;120
11:00;26;20;16;5;11;43
12:00;17;30;13;9;5;25
13:00;16;41;16;6;4;21
14:00;23;37;18;6;6;31
15:00;22;40;14;5;5;31
16:00;17;56;17;4;3;20
17:00;22;56;18;5;3;27
18:00;41;39;22;7;8;53
19:00;80;9;38;11;36;134
20:00;80;7;45;18;58;170
21:00;81;7;39;18;58;170
22:00;80;10;47;19;106;242
23:00;78;6;42;19;104;237
