CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;3;33;18;12;42
01:00;23;4;35;20;11;40
02:00;14;4;24;12;4;19
03:00;12;5;20;10;3;16
04:00;9;11;20;11;2;12
05:00;11;11;23;7;2;14
06:00;15;7;17;9;9;29
07:00;21;3;23;8;18;49
08:00;27;1;23;11;37;84
09:00;28;1;20;8;47;100
10:00;25;1;17;7;35;79
11:00;22;2;9;5;24;59
12:00;20;2;7;5;20;50
13:00;21;2;12;8;26;62
14:00;;2;27;10;;
15:00;22;;16;6;34;73
16:00;23;2;20;9;37;80
17:00;28;2;27;11;40;88
18:00;28;3;25;13;30;74
19:00;28;3;25;12;36;83
20:00;27;3;29;15;46;98
21:00;26;4;27;14;31;73
22:00;27;3;29;15;27;67
23:00;23;3;33;15;13;44
