CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;29;4;59;32;37;86
01:00;28;5;66;34;31;76
02:00;7;6;16;6;2;10
03:00;8;4;11;4;3;12
04:00;9;3;15;7;3;15
05:00;11;3;23;10;5;18
06:00;18;2;25;11;14;40
07:00;24;1;24;10;19;53
08:00;;;20;12;;
09:00;38;3;38;14;67;140
10:00;41;3;34;11;57;128
11:00;39;3;25;9;39;99
12:00;40;3;27;9;45;108
13:00;31;3;17;11;23;66
14:00;29;3;15;9;24;66
15:00;37;3;17;11;31;84
16:00;37;3;25;8;29;81
17:00;37;3;28;13;31;85
18:00;44;3;46;22;62;139
19:00;45;;58;27;83;173
20:00;39;3;63;36;51;116
21:00;35;3;56;29;31;82
22:00;35;4;55;30;27;77
23:00;33;4;55;31;27;74
