CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;59;20;50;21;77;178
01:00;58;9;47;24;105;219
02:00;35;10;57;31;56;120
03:00;30;9;47;29;109;198
04:00;25;8;41;22;64;123
05:00;24;7;33;20;34;76
06:00;30;6;34;18;67;132
07:00;31;7;39;20;92;173
08:00;36;8;46;21;106;200
09:00;46;9;49;21;98;196
10:00;36;22;43;20;18;62
11:00;29;31;39;18;10;44
12:00;35;34;40;19;11;52
13:00;29;58;36;15;5;37
14:00;22;75;27;12;2;26
15:00;23;79;28;10;2;26
16:00;30;80;32;11;3;35
17:00;36;81;28;12;4;42
18:00;36;86;25;10;3;42
19:00;56;67;33;14;5;64
20:00;41;70;43;13;2;45
21:00;38;61;52;17;2;42
22:00;39;52;55;21;2;42
23:00;29;54;48;18;2;31
