CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;2;25;12;73;143
01:00;25;1;19;10;39;85
02:00;40;4;28;12;114;215
03:00;32;2;18;10;86;164
04:00;27;2;13;9;21;58
05:00;25;1;16;8;43;91
06:00;28;1;14;7;67;129
07:00;32;3;22;9;116;209
08:00;38;3;31;9;82;165
09:00;46;4;32;15;84;173
10:00;34;9;29;8;25;72
11:00;30;11;22;10;17;57
12:00;25;18;18;7;14;46
13:00;20;23;19;5;8;32
14:00;22;31;15;5;7;33
15:00;27;22;15;10;9;41
16:00;29;15;15;5;15;51
17:00;23;22;10;3;11;41
18:00;27;23;8;3;10;44
19:00;41;14;13;3;16;66
20:00;44;10;15;4;19;74
21:00;51;3;18;8;38;109
22:00;47;3;26;10;61;140
23:00;44;4;29;13;133;248
