CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;29;1;28;20;5;36
01:00;27;1;25;21;6;35
02:00;30;3;8;60;151;260
03:00;30;3;7;60;143;249
04:00;31;3;6;43;126;223
05:00;34;3;5;33;50;110
06:00;36;1;4;17;15;58
07:00;36;3;5;16;27;77
08:00;35;3;6;22;32;82
09:00;33;3;7;27;38;91
10:00;33;3;12;39;42;96
11:00;31;3;22;32;22;65
12:00;25;3;41;25;9;40
13:00;25;3;49;27;8;37
14:00;21;3;55;14;5;28
15:00;19;3;56;18;4;24
16:00;19;3;61;15;3;23
17:00;21;;63;13;3;25
18:00;25;3;57;13;4;29
19:00;37;3;43;19;5;43
20:00;50;3;33;31;6;58
21:00;44;2;34;16;6;52
22:00;39;1;31;20;6;48
23:00;29;1;32;18;5;37
