CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Tlenek azotu;Tlenki azotu
00:00;55;12;7;199;244;426
01:00;;;5;71;;
02:00;48;15;;65;15;71
03:00;46;14;2;76;48;118
04:00;38;14;1;77;65;136
05:00;32;9;1;74;87;164
06:00;35;9;1;62;89;170
07:00;35;9;1;65;132;235
08:00;38;10;1;74;162;284
09:00;52;17;3;83;137;259
10:00;44;19;16;56;39;103
11:00;24;10;50;39;11;40
12:00;27;7;57;31;7;37
13:00;31;8;57;24;8;43
14:00;21;8;68;18;4;27
15:00;19;11;75;21;4;25
16:00;21;12;74;22;4;27
17:00;25;9;66;34;1;27
18:00;58;21;33;64;21;89
19:00;95;22;6;127;131;294
20:00;89;19;6;167;255;476
21:00;86;16;5;166;299;540
22:00;59;19;16;123;152;290
23:00;59;13;7;166;206;372
