CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;52;34;4;160;109;87;184
01:00;37;25;25;110;75;3;42
02:00;30;21;32;96;71;2;33
03:00;23;18;35;91;63;2;27
04:00;27;20;29;95;67;3;32
05:00;33;23;20;102;73;3;38
06:00;34;21;17;82;55;10;49
07:00;39;21;7;84;52;20;69
08:00;39;16;3;73;47;38;97
09:00;37;23;3;107;64;39;97
10:00;34;29;3;94;63;36;90
11:00;32;22;4;71;52;28;75
12:00;34;20;3;77;51;31;80
13:00;33;20;5;79;52;27;75
14:00;35;18;3;87;56;28;79
15:00;39;;4;90;61;38;96
16:00;37;19;4;80;56;32;86
17:00;40;16;3;71;51;40;100
18:00;39;12;2;88;55;39;98
19:00;40;10;2;98;56;34;92
20:00;43;11;2;101;61;34;94
21:00;44;14;3;127;74;46;114
22:00;46;19;4;135;91;80;169
23:00;49;28;4;164;111;88;184
