CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;33;16;22;72;49;5;41
01:00;69;170;14;453;306;178;341
02:00;63;156;3;331;188;70;170
03:00;34;117;16;112;75;6;44
04:00;27;86;27;45;31;4;32
05:00;20;67;32;31;23;2;23
06:00;27;56;23;24;18;6;36
07:00;29;45;19;25;16;7;39
08:00;35;34;14;27;20;14;56
09:00;36;25;15;28;15;14;57
10:00;33;23;14;23;10;13;54
11:00;27;23;22;22;12;9;42
12:00;24;20;27;21;12;7;35
13:00;28;21;33;25;14;8;40
14:00;23;18;54;22;12;7;33
15:00;22;;59;17;11;5;30
16:00;37;25;43;27;15;8;48
17:00;36;15;45;29;14;9;50
18:00;30;11;47;31;17;6;40
19:00;30;9;45;32;19;7;39
20:00;30;9;40;29;17;7;41
21:00;30;9;35;23;15;7;42
22:00;32;10;22;46;30;6;41
23:00;36;12;17;64;43;8;49
