CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;26;2;60;42;3;31
01:00;29;17;133;113;46;99
02:00;27;18;135;117;52;106
03:00;26;14;121;103;35;80
04:00;26;13;114;94;23;62
05:00;26;10;106;88;18;53
06:00;22;;122;94;71;131
07:00;21;5;132;94;133;225
08:00;21;4;122;94;113;194
09:00;27;9;86;73;48;100
10:00;38;10;95;80;34;90
11:00;24;5;72;59;6;34
12:00;13;4;44;38;2;16
13:00;8;5;33;25;0;9
14:00;8;4;28;19;0;9
15:00;10;8;32;22;0;11
16:00;9;4;23;17;0;9
17:00;19;1;24;14;1;20
18:00;27;2;29;22;1;29
19:00;36;2;34;23;2;40
20:00;36;3;38;35;3;40
21:00;39;3;47;39;4;46
22:00;35;2;56;42;4;41
23:00;31;2;56;46;4;37
