CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;15;5;41;38;1;18
01:00;26;21;;165;122;212
02:00;19;24;;138;80;141
03:00;;;;121;;
04:00;18;21;;118;121;203
05:00;16;17;;95;101;171
06:00;19;16;;96;186;303
07:00;30;15;;88;300;489
08:00;51;16;;114;396;654
09:00;77;23;;124;440;747
10:00;69;24;177;125;254;456
11:00;71;23;150;100;131;271
12:00;50;29;67;50;30;96
13:00;51;55;62;39;21;84
14:00;52;39;51;31;15;75
15:00;71;40;64;36;27;112
16:00;81;44;72;38;37;138
17:00;106;20;121;55;257;465
18:00;114;4;166;84;454;767
19:00;119;3;233;134;558;902
20:00;51;3;136;106;45;120
21:00;35;;91;69;10;50
22:00;33;4;59;53;5;40
23:00;26;4;57;47;3;31
