CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;74;7;56;33;28;117
01:00;62;5;63;35;37;120
02:00;53;3;47;34;98;203
03:00;44;2;45;30;93;185
04:00;34;2;43;24;83;160
05:00;29;2;37;21;81;153
06:00;32;7;39;22;32;80
07:00;27;16;40;21;9;41
08:00;26;26;39;22;9;40
09:00;27;36;66;22;10;42
10:00;28;58;47;22;7;38
11:00;21;88;25;14;4;26
12:00;14;116;26;11;2;16
13:00;8;134;23;12;0;10
14:00;16;134;28;18;1;19
15:00;11;135;21;16;1;13
16:00;13;121;20;16;1;15
17:00;9;127;21;13;1;11
18:00;10;137;28;11;1;12
19:00;12;152;32;14;0;13
20:00;14;132;34;15;1;16
21:00;18;116;40;22;1;20
22:00;20;97;45;24;1;22
23:00;43;53;52;23;7;54
