CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;54;6;38;16;33;103
01:00;43;8;35;18;10;59
02:00;29;4;34;18;34;80
03:00;24;3;32;18;15;47
04:00;26;3;30;17;22;59
05:00;26;4;30;17;27;68
06:00;29;4;34;19;50;105
07:00;33;5;40;22;94;178
08:00;39;6;45;20;119;221
09:00;28;10;39;19;29;73
10:00;26;18;32;19;15;49
11:00;28;26;27;13;12;47
12:00;32;29;24;13;12;50
13:00;32;32;27;11;10;47
14:00;28;39;24;11;8;40
15:00;33;38;25;10;8;45
16:00;37;38;30;10;9;49
17:00;36;44;27;7;7;47
18:00;50;31;31;7;11;67
19:00;72;12;31;10;26;112
20:00;65;12;34;14;25;103
21:00;73;6;42;18;71;182
22:00;64;5;38;18;42;128
23:00;59;6;41;18;42;123
