CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;17;8;41;21;7;28
01:00;14;9;44;21;5;22
02:00;30;5;39;18;35;84
03:00;28;5;29;14;19;57
04:00;24;5;24;13;18;52
05:00;21;5;28;12;28;64
06:00;16;6;28;15;61;110
07:00;17;7;27;11;118;199
08:00;17;6;28;11;117;197
09:00;19;6;23;11;70;127
10:00;19;7;21;11;26;59
11:00;19;7;30;12;13;39
12:00;17;7;23;9;12;35
13:00;22;9;23;11;12;40
14:00;24;10;20;11;12;41
15:00;21;12;18;10;10;38
16:00;22;12;22;11;11;39
17:00;24;11;26;10;12;43
18:00;35;8;28;13;22;68
19:00;42;6;37;15;39;101
20:00;34;8;41;19;23;69
21:00;30;9;40;23;22;64
22:00;30;9;41;23;34;83
23:00;25;8;38;21;16;50
