CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;31;3;33;24;42;94
01:00;26;2;32;20;50;102
02:00;10;2;18;10;0;10
03:00;9;2;19;13;0;9
04:00;4;2;14;13;0;4
05:00;4;1;15;11;0;4
06:00;8;1;14;11;2;11
07:00;13;1;16;11;4;18
08:00;17;1;16;11;7;27
09:00;21;1;10;9;8;33
10:00;21;1;8;6;7;31
11:00;19;1;10;6;5;27
12:00;13;1;10;6;3;17
13:00;18;1;9;7;6;28
14:00;20;1;9;6;9;33
15:00;19;1;14;10;7;29
16:00;14;1;9;7;5;21
17:00;17;1;12;7;3;21
18:00;13;1;11;7;3;17
19:00;23;1;16;9;4;29
20:00;25;2;18;13;2;28
21:00;34;2;22;17;18;61
22:00;49;3;29;23;78;167
23:00;38;3;34;26;72;148
