CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;36;6;38;18;29;80
01:00;35;7;42;20;53;116
02:00;24;15;9;4;3;30
03:00;23;14;12;4;4;29
04:00;15;16;9;4;2;19
05:00;21;9;8;4;6;30
06:00;27;5;8;5;9;40
07:00;30;3;10;4;26;70
08:00;38;3;19;8;63;135
09:00;31;6;21;8;49;107
10:00;15;19;15;6;9;30
11:00;19;18;13;6;12;37
12:00;20;23;14;5;9;34
13:00;15;29;13;5;5;24
14:00;20;27;11;5;8;33
15:00;24;27;13;6;11;40
16:00;19;30;11;5;8;32
17:00;26;27;9;4;8;38
18:00;30;20;15;7;10;47
19:00;43;9;28;13;31;91
20:00;44;7;31;17;35;98
21:00;47;8;44;18;63;144
22:00;34;12;40;47;18;62
23:00;40;6;38;31;25;78
