CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55;3;38;20;51;134
01:00;43;2;30;15;64;140
02:00;14;63;16;7;2;17
03:00;13;52;14;6;2;17
04:00;;53;13;7;;
05:00;33;;19;9;5;41
06:00;37;14;26;12;11;54
07:00;40;14;34;15;18;68
08:00;31;32;35;19;11;48
09:00;15;57;26;14;4;21
10:00;11;70;25;13;3;17
11:00;19;76;27;16;4;27
12:00;19;90;36;16;3;24
13:00;33;79;47;21;5;41
14:00;27;94;50;23;4;34
15:00;27;96;49;22;3;32
16:00;39;67;46;22;6;48
17:00;31;54;35;18;6;41
18:00;15;71;18;;3;20
19:00;44;51;20;15;8;56
20:00;46;29;24;16;13;66
21:00;20;55;18;12;3;25
22:00;26;51;15;12;5;34
23:00;59;7;37;17;54;142
