CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;34;7;54;20;167;288
01:00;26;8;55;28;142;243
02:00;22;4;40;20;18;49
03:00;22;4;40;23;20;53
04:00;20;4;41;19;13;41
05:00;19;4;37;20;16;43
06:00;19;4;38;23;27;60
07:00;18;4;39;22;47;91
08:00;23;5;42;21;85;153
09:00;28;4;25;9;53;109
10:00;27;4;24;9;15;51
11:00;23;7;36;15;19;53
12:00;20;11;36;12;15;43
13:00;18;20;28;10;7;29
14:00;15;30;26;13;4;22
15:00;16;34;28;15;3;22
16:00;18;34;26;16;3;22
17:00;23;24;27;16;5;30
18:00;23;23;30;18;5;31
19:00;26;20;37;17;4;32
20:00;30;15;37;19;4;37
21:00;45;8;52;24;44;112
22:00;41;7;45;22;52;121
23:00;39;7;49;23;108;204
