CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;15;2;42;17;6;3;19
01:00;38;30;7;262;221;106;199
02:00;33;26;7;261;211;109;199
03:00;31;23;5;212;176;86;161
04:00;36;23;3;177;128;54;118
05:00;40;24;3;132;99;43;105
06:00;44;23;3;113;87;63;139
07:00;53;22;4;119;95;148;277
08:00;58;21;4;121;84;158;298
09:00;74;19;5;128;103;280;499
10:00;74;19;4;139;103;269;482
11:00;63;18;4;126;91;124;251
12:00;51;13;7;98;64;58;139
13:00;45;15;10;76;52;32;93
14:00;51;19;10;79;51;34;103
15:00;61;17;6;81;59;44;128
16:00;60;9;7;60;35;32;108
17:00;67;6;7;40;20;52;145
18:00;67;6;7;42;23;54;148
19:00;67;8;5;45;27;62;161
20:00;43;5;13;32;15;25;81
21:00;31;5;23;24;14;13;51
22:00;26;4;29;23;7;10;42
23:00;18;3;39;21;5;4;24
