CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;77;130;14;320;100;230
01:00;68;115;21;;130;267
02:00;61;137;21;;103;218
03:00;60;145;16;;92;201
04:00;55;136;15;295;70;162
05:00;53;135;12;270;71;162
06:00;52;135;10;239;63;147
07:00;51;141;10;233;88;186
08:00;50;136;10;235;83;177
09:00;55;143;9;251;88;191
10:00;67;172;11;285;67;171
11:00;75;160;14;286;55;160
12:00;70;142;28;241;29;115
13:00;51;118;50;170;13;70
14:00;33;102;64;108;5;41
15:00;35;92;62;85;5;43
16:00;40;88;56;83;4;47
17:00;47;82;55;113;3;51
18:00;87;;22;153;71;197
19:00;128;48;10;202;271;543
20:00;127;65;16;275;310;601
21:00;125;74;17;309;337;641
22:00;97;113;21;;215;425
23:00;85;121;18;295;168;342
