CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;25;10;44;37;5;32
01:00;24;4;205;162;113;196
02:00;28;3;173;137;111;197
03:00;29;2;128;99;61;121
04:00;28;2;105;81;38;84
05:00;24;2;96;81;32;73
06:00;22;2;82;71;19;50
07:00;19;2;79;65;15;42
08:00;18;2;74;61;14;39
09:00;15;2;66;53;12;33
10:00;14;2;60;51;13;32
11:00;13;3;57;47;12;31
12:00;10;6;48;41;9;22
13:00;9;12;35;32;7;19
14:00;12;15;36;27;4;17
15:00;12;16;36;30;4;17
16:00;22;10;40;32;8;33
17:00;33;4;59;41;22;66
18:00;49;3;82;49;143;266
19:00;41;5;67;;32;89
20:00;35;7;52;;25;73
21:00;29;10;50;37;6;37
22:00;34;6;73;57;40;94
23:00;29;9;52;47;28;70
