CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;18;9;89;72;46;115
01:00;32;16;6;;63;8;45
02:00;29;15;7;;59;6;37
03:00;32;14;5;66;60;15;55
04:00;29;9;5;67;52;17;56
05:00;30;7;4;;;62;125
06:00;;;;47;37;;
07:00;;8;9;46;37;;
08:00;35;6;10;33;25;15;58
09:00;41;8;10;47;39;43;106
10:00;52;13;8;80;60;104;211
11:00;47;15;14;57;45;85;178
12:00;21;10;31;26;27;7;31
13:00;47;13;18;42;32;29;91
14:00;52;10;13;43;32;41;114
15:00;56;6;13;39;25;31;102
16:00;50;6;15;37;25;24;86
17:00;65;7;10;54;44;73;177
18:00;74;9;9;83;69;133;277
19:00;65;11;7;93;83;81;188
20:00;;;7;81;67;;
21:00;51;8;;63;53;36;104
22:00;47;12;8;68;56;30;93
23:00;45;12;9;73;59;36;99
