CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;55;10;36;105;55;200;360
01:00;47;12;32;93;49;127;241
02:00;20;20;27;124;;100;174
03:00;17;22;26;116;;100;170
04:00;15;24;25;112;;138;226
05:00;19;24;21;102;;200;325
06:00;22;24;21;98;;190;312
07:00;32;25;21;120;;295;484
08:00;43;28;23;106;;393;645
09:00;78;31;28;135;;594;933
10:00;86;32;26;141;;394;688
11:00;77;37;19;120;;183;357
12:00;64;34;13;60;;81;189
13:00;20;26;18;20;;6;29
14:00;19;23;23;14;;5;28
15:00;24;19;31;13;12;5;33
16:00;28;14;;25;9;5;36
17:00;41;11;;27;10;9;54
18:00;67;8;;39;18;35;120
19:00;95;6;;92;43;185;377
20:00;82;5;;98;50;197;383
21:00;73;;;119;61;231;426
22:00;61;4;;110;56;178;333
23:00;65;8;;117;60;243;436
