CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;16;3;39;18;5;23
01:00;16;2;39;20;4;23
02:00;5;2;33;17;2;9
03:00;6;2;34;18;2;9
04:00;6;2;26;16;3;11
05:00;7;3;24;16;3;12
06:00;6;2;22;15;3;11
07:00;8;3;24;13;3;13
08:00;11;3;27;15;5;19
09:00;15;2;28;12;7;25
10:00;17;2;26;14;7;27
11:00;13;2;27;13;5;22
12:00;13;2;27;13;6;23
13:00;19;2;29;14;8;31
14:00;27;2;29;15;11;42
15:00;58;;27;13;23;93
16:00;98;3;31;18;30;143
17:00;54;1;30;17;14;77
18:00;22;1;32;13;6;31
19:00;51;2;38;16;16;76
20:00;21;1;42;21;8;33
21:00;19;1;40;20;7;30
22:00;18;2;38;18;6;29
23:00;14;2;39;20;5;23
