CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;34;5;52;26;95;178
01:00;29;5;44;21;97;178
02:00;29;10;64;29;62;124
03:00;25;7;55;25;43;89
04:00;22;7;52;24;50;98
05:00;22;7;55;22;19;51
06:00;25;8;59;25;13;45
07:00;25;7;58;28;24;63
08:00;25;9;59;25;18;53
09:00;21;13;47;23;7;32
10:00;18;23;31;14;5;25
11:00;15;32;20;11;4;22
12:00;13;34;21;10;4;20
13:00;15;36;23;12;4;21
14:00;16;38;25;14;3;21
15:00;13;46;27;13;2;16
16:00;18;45;31;13;3;22
17:00;27;40;44;19;5;35
18:00;41;28;41;22;8;53
19:00;70;8;55;25;69;175
20:00;69;8;64;27;134;273
21:00;65;8;71;28;204;377
22:00;57;8;65;27;192;351
23:00;43;6;62;29;150;271
