CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;4;39;13;80;167
01:00;39;4;30;16;63;136
02:00;22;2;19;12;27;63
03:00;18;1;17;10;28;60
04:00;21;2;20;9;21;54
05:00;19;2;18;9;67;122
06:00;23;3;27;11;156;262
07:00;25;4;25;15;151;257
08:00;31;4;36;14;138;242
09:00;30;2;25;15;89;165
10:00;24;8;21;12;29;69
11:00;20;17;20;9;14;41
12:00;17;29;18;8;6;26
13:00;15;38;17;9;4;22
14:00;17;42;18;6;4;24
15:00;;53;17;8;;
16:00;21;;22;9;4;27
17:00;28;47;21;7;6;36
18:00;40;41;20;8;8;52
19:00;47;32;23;10;12;65
20:00;73;11;38;13;57;160
21:00;73;6;42;17;67;175
22:00;63;5;41;18;51;140
23:00;56;5;42;20;83;184
