CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;23;5;23;20;19;4;30
01:00;56;25;2;119;96;84;183
02:00;55;20;2;86;73;62;149
03:00;57;21;2;122;97;33;107
04:00;41;18;10;87;67;21;72
05:00;45;23;12;70;54;13;65
06:00;39;23;25;54;35;11;54
07:00;25;21;41;24;25;6;33
08:00;40;18;27;29;23;12;56
09:00;57;18;13;40;29;23;91
10:00;42;20;20;35;28;13;60
11:00;27;10;27;31;26;7;36
12:00;31;11;23;25;19;7;41
13:00;29;7;23;27;22;8;40
14:00;26;4;22;21;20;7;36
15:00;45;3;9;35;28;20;74
16:00;43;4;11;35;25;19;70
17:00;37;5;15;25;20;14;58
18:00;35;3;16;35;26;14;55
19:00;38;3;10;37;30;18;65
20:00;39;2;7;30;26;17;64
21:00;30;1;10;23;16;12;49
22:00;29;2;10;25;;8;41
23:00;29;1;9;34;30;11;45
