CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;28;12;35;20;5;37
01:00;14;31;20;11;4;20
02:00;14;31;16;12;2;19
03:00;14;31;15;12;2;18
04:00;12;34;17;11;1;15
05:00;13;36;16;13;2;18
06:00;15;31;11;8;5;23
07:00;19;26;11;6;4;27
08:00;16;20;20;10;7;27
09:00;17;16;25;17;8;30
10:00;17;18;29;20;8;30
11:00;22;20;33;22;13;43
12:00;21;22;37;27;12;40
13:00;23;20;43;31;12;42
14:00;30;18;45;37;18;57
15:00;28;19;42;38;18;57
16:00;31;18;39;31;19;62
17:00;32;14;42;31;18;60
18:00;31;14;48;38;18;58
19:00;32;11;54;40;25;71
20:00;40;15;29;25;12;59
21:00;31;21;22;19;7;44
22:00;32;15;27;19;6;41
23:00;37;16;33;20;7;50
