CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;97;40;25;58;55;340;617
01:00;10;5;55;48;;0;10
02:00;6;6;59;38;;0;7
03:00;6;7;58;30;25;0;6
04:00;7;7;55;33;25;0;7
05:00;9;8;51;38;26;0;9
06:00;13;9;44;40;31;0;14
07:00;19;9;36;37;32;1;21
08:00;21;9;36;42;37;4;27
09:00;23;10;34;53;49;7;33
10:00;26;14;34;67;51;13;47
11:00;19;11;47;59;45;8;30
12:00;23;11;51;63;57;9;37
13:00;34;14;46;87;61;14;55
14:00;32;14;56;80;59;8;45
15:00;24;11;71;69;53;3;29
16:00;46;17;54;76;61;6;55
17:00;67;18;33;91;69;7;77
18:00;94;23;11;123;72;36;150
19:00;114;25;13;182;131;265;511
20:00;133;28;16;215;;437;782
21:00;132;24;16;234;;455;816
22:00;126;26;22;304;;492;871
23:00;101;72;27;71;;273;518
