CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;67;7;40;17;33;117
01:00;49;11;37;17;9;63
02:00;36;3;30;14;30;82
03:00;32;9;25;12;12;49
04:00;36;6;29;14;10;52
05:00;39;3;30;14;27;81
06:00;45;5;41;18;74;158
07:00;49;5;48;18;119;231
08:00;56;7;57;20;152;288
09:00;65;7;62;21;151;297
10:00;58;6;57;29;98;208
11:00;52;10;46;19;55;136
12:00;34;31;30;8;11;50
13:00;31;45;28;9;6;41
14:00;30;61;25;10;4;36
15:00;27;72;25;12;3;32
16:00;30;74;29;12;3;34
17:00;35;76;26;12;4;41
18:00;62;53;29;11;9;76
19:00;115;19;53;22;92;257
20:00;109;12;66;27;117;289
21:00;103;9;61;24;112;275
22:00;90;9;52;21;90;228
23:00;81;7;41;19;45;150
