CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;54;3;4;123;103;80;175
01:00;50;2;2;50;38;65;148
02:00;44;2;2;49;38;57;130
03:00;40;2;2;45;38;45;108
04:00;41;2;2;39;37;49;115
05:00;38;2;2;41;33;45;106
06:00;35;2;2;41;36;46;105
07:00;36;2;2;38;35;49;109
08:00;37;2;2;43;36;62;131
09:00;39;3;2;53;43;81;162
10:00;46;3;2;68;53;100;197
11:00;54;3;4;82;61;111;222
12:00;58;3;6;101;75;99;208
13:00;55;3;9;103;75;67;156
14:00;51;3;10;95;66;49;125
15:00;52;3;9;96;70;45;119
16:00;53;3;5;88;69;45;121
17:00;51;3;2;79;65;42;115
18:00;50;3;2;71;45;49;125
19:00;49;2;2;70;44;51;126
20:00;48;3;2;76;46;57;135
21:00;48;4;4;107;80;114;222
22:00;43;4;4;120;98;122;228
23:00;42;4;4;119;91;132;243
