CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;44;11;58;29;163;294
01:00;40;8;44;25;107;204
02:00;41;7;37;19;10;57
03:00;30;13;32;15;4;37
04:00;37;7;33;16;8;49
05:00;35;6;34;16;15;58
06:00;36;4;35;17;37;93
07:00;39;6;45;20;81;162
08:00;42;6;41;21;108;208
09:00;34;8;34;17;33;85
10:00;31;12;38;17;23;66
11:00;25;19;31;16;14;47
12:00;;24;32;15;;
13:00;26;;27;13;9;40
14:00;31;31;29;10;10;46
15:00;34;35;28;13;9;47
16:00;38;34;28;13;10;53
17:00;48;32;33;14;12;65
18:00;49;33;32;18;8;62
19:00;76;12;45;27;40;137
20:00;82;9;58;25;83;209
21:00;77;11;66;28;113;249
22:00;65;10;57;27;93;207
23:00;59;11;58;31;119;241
