CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;38;8;2;247;221;228;386
01:00;26;8;2;192;153;94;168
02:00;24;8;2;170;135;85;154
03:00;21;8;2;148;127;80;143
04:00;21;7;2;135;121;87;153
05:00;22;7;1;124;104;85;152
06:00;27;7;1;106;96;122;213
07:00;26;7;2;126;104;121;210
08:00;49;9;2;158;127;339;566
09:00;63;11;2;171;142;428;716
10:00;70;11;2;196;158;333;578
11:00;58;18;1;151;141;171;318
12:00;74;34;1;163;132;185;356
13:00;83;54;2;172;145;179;357
14:00;87;42;1;151;129;126;279
15:00;58;32;3;83;71;41;121
16:00;52;22;4;64;52;18;79
17:00;58;13;2;83;67;53;137
18:00;71;9;2;98;77;199;369
19:00;99;;2;149;109;460;758
20:00;58;6;2;120;113;158;299
21:00;96;11;2;216;172;575;918
22:00;88;9;2;259;221;539;882
23:00;55;8;3;315;252;334;566
