CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;22;4;55;27;5;31
01:00;21;3;53;27;6;30
02:00;6;3;13;8;2;10
03:00;5;3;14;5;2;9
04:00;3;3;8;4;2;7
05:00;5;3;11;5;2;9
06:00;9;2;15;6;3;15
07:00;13;1;9;6;5;22
08:00;23;1;11;5;8;37
09:00;27;1;15;;15;50
10:00;27;1;29;14;16;52
11:00;24;1;25;11;10;39
12:00;25;1;28;11;10;40
13:00;46;;34;11;24;83
14:00;28;1;31;13;13;47
15:00;26;1;33;11;9;40
16:00;16;1;23;9;4;23
17:00;27;1;31;27;6;36
18:00;46;1;52;26;21;78
19:00;46;1;76;32;56;131
20:00;47;3;90;43;131;247
21:00;43;3;82;42;43;109
22:00;29;4;58;34;8;42
23:00;26;5;57;30;7;36
