CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;30;6;117;66;111;201
01:00;25;9;112;64;81;149
02:00;24;5;70;37;43;90
03:00;22;6;63;35;40;84
04:00;19;7;47;30;34;71
05:00;20;6;50;27;27;61
06:00;20;8;53;30;53;102
07:00;24;9;58;31;121;208
08:00;27;9;61;33;139;239
09:00;35;10;61;36;163;283
10:00;42;11;76;38;160;286
11:00;32;11;46;22;35;85
12:00;22;11;38;18;17;49
13:00;23;11;34;15;13;45
14:00;23;11;26;11;10;39
15:00;30;10;26;12;13;49
16:00;37;8;31;12;14;58
17:00;48;6;33;14;24;84
18:00;58;;49;20;46;127
19:00;64;1;73;32;123;252
20:00;61;2;103;46;214;388
21:00;;2;;88;;
22:00;47;3;175;89;215;377
23:00;36;5;138;76;126;230
