CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;30;14;53;27;9;41
01:00;27;12;47;27;8;39
02:00;17;11;34;18;4;22
03:00;17;10;32;17;4;22
04:00;17;9;27;11;5;22
05:00;18;7;21;9;8;29
06:00;23;6;19;9;19;52
07:00;29;6;27;13;43;93
08:00;28;6;28;15;39;85
09:00;24;6;26;11;21;55
10:00;28;6;23;9;25;65
11:00;29;6;24;11;25;66
12:00;29;7;26;12;25;64
13:00;27;9;26;12;21;58
14:00;24;12;22;11;16;47
15:00;30;11;24;12;17;55
16:00;36;10;34;13;22;68
17:00;37;10;33;16;27;76
18:00;40;9;33;19;28;81
19:00;42;9;38;23;38;98
20:00;43;9;42;22;48;115
21:00;39;10;39;21;31;85
22:00;38;11;46;23;21;69
23:00;37;12;54;28;19;66
