CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;14;2;14;11;3;19
01:00;11;2;11;10;2;13
02:00;33;2;17;10;5;40
03:00;32;2;14;10;2;34
04:00;25;2;10;7;2;27
05:00;11;4;19;7;1;12
06:00;16;4;17;7;3;20
07:00;22;4;17;13;7;32
08:00;;;14;9;;
09:00;16;2;9;3;10;31
10:00;16;1;5;3;9;29
11:00;13;1;3;3;8;25
12:00;12;2;4;3;7;22
13:00;13;2;5;4;11;30
14:00;11;2;6;3;10;26
15:00;14;2;10;3;10;30
16:00;16;1;12;3;8;28
17:00;17;6;11;3;8;29
18:00;15;7;8;3;7;25
19:00;20;2;9;5;7;31
20:00;20;2;10;7;6;29
21:00;17;1;8;6;3;22
22:00;13;1;9;6;1;14
23:00;21;2;19;10;4;27
