CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;13;2;26;18;2;15
01:00;14;2;31;17;1;15
02:00;21;2;;21;43;86
03:00;18;2;;25;20;49
04:00;16;2;33;25;15;38
05:00;17;3;34;21;21;48
06:00;17;3;40;31;29;60
07:00;18;5;36;29;30;63
08:00;19;6;31;18;15;41
09:00;14;5;27;16;8;25
10:00;11;4;21;11;5;18
11:00;5;3;14;8;2;8
12:00;5;2;16;10;1;7
13:00;10;13;19;11;2;12
14:00;9;19;19;14;2;12
15:00;10;10;19;15;1;11
16:00;11;5;18;12;1;13
17:00;9;6;17;12;1;11
18:00;13;7;19;15;1;15
19:00;18;7;20;15;1;20
20:00;21;6;23;13;1;23
21:00;52;4;25;20;3;56
22:00;70;4;31;27;26;110
23:00;42;4;26;22;14;63
