CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;45;47;6;132;110;51;120
01:00;32;50;8;123;81;6;41
02:00;26;42;14;112;73;4;32
03:00;20;36;23;86;59;3;24
04:00;21;29;20;69;47;2;24
05:00;29;24;9;68;48;8;40
06:00;35;21;4;69;51;17;59
07:00;38;19;2;66;49;34;89
08:00;42;18;3;72;50;58;129
09:00;38;18;3;72;50;49;111
10:00;39;16;3;68;50;44;106
11:00;36;14;6;62;45;33;85
12:00;31;;9;48;32;22;64
13:00;33;11;9;50;37;22;66
14:00;35;18;7;63;45;27;74
15:00;36;12;7;72;47;24;72
16:00;43;12;4;71;51;43;107
17:00;49;13;3;77;51;60;139
18:00;48;16;4;95;67;68;151
19:00;46;21;4;97;74;64;143
20:00;46;27;3;99;76;48;118
21:00;48;29;3;98;74;43;112
22:00;49;29;4;100;77;39;107
23:00;47;43;7;135;113;55;129
