CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;10;3;45;35;0;10
01:00;22;38;101;87;3;28
02:00;22;33;104;90;3;27
03:00;15;30;89;75;2;19
04:00;15;26;87;74;2;17
05:00;17;22;87;75;2;21
06:00;20;19;90;77;2;24
07:00;21;17;88;77;2;25
08:00;17;15;81;69;3;21
09:00;19;14;88;78;5;27
10:00;18;14;87;71;5;26
11:00;19;14;76;61;4;25
12:00;14;13;;50;2;17
13:00;14;9;54;43;1;16
14:00;14;8;55;46;1;16
15:00;14;6;56;50;1;16
16:00;15;6;55;47;1;17
17:00;14;;48;38;0;15
18:00;14;4;47;42;0;15
19:00;14;4;53;46;1;15
20:00;18;7;49;45;1;20
21:00;18;7;53;46;1;20
22:00;15;5;48;36;1;17
23:00;10;4;47;37;0;11
