CZAS;Dwutlenek azotu;Dwutlenek siarki;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;42;4;121;26;173;306
01:00;36;3;105;48;132;239
02:00;22;4;59;28;16;46
03:00;20;5;69;35;79;141
04:00;18;5;73;36;78;137
05:00;17;5;53;28;9;30
06:00;16;4;55;24;7;28
07:00;21;4;55;26;18;49
08:00;21;3;53;25;20;53
09:00;22;3;52;27;30;67
10:00;21;3;56;27;32;70
11:00;44;;57;25;44;111
12:00;42;;58;24;38;100
13:00;29;;55;24;16;54
14:00;27;3;43;;8;40
15:00;34;3;45;;13;55
16:00;39;3;52;23;14;61
17:00;48;3;55;22;17;75
18:00;52;3;55;24;14;73
19:00;57;3;78;34;20;88
20:00;59;5;99;48;34;111
21:00;57;9;129;61;67;159
22:00;52;8;98;46;30;98
23:00;50;9;88;39;25;89
