CZAS;Dwutlenek azotu;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;44;8;53;29;176;313
01:00;36;9;55;30;138;248
02:00;31;3;28;15;47;103
03:00;29;3;24;13;30;75
04:00;29;3;23;13;26;70
05:00;26;3;25;12;47;98
06:00;29;4;29;15;163;279
07:00;34;6;39;19;223;375
08:00;46;6;40;20;204;357
09:00;40;6;39;18;96;187
10:00;28;15;32;16;21;61
11:00;24;21;24;14;12;43
12:00;18;32;18;;6;26
13:00;19;38;21;;5;28
14:00;20;41;17;;4;27
15:00;24;38;19;8;5;32
16:00;28;39;20;7;7;40
17:00;29;41;17;9;7;40
18:00;38;35;23;10;10;54
19:00;63;14;30;13;26;104
20:00;67;4;40;14;36;121
21:00;65;6;47;20;115;241
22:00;65;9;57;26;221;403
23:00;62;9;61;30;256;453
