CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;69;4;17;58;34;48;142
01:00;67;3;4;63;42;46;138
02:00;11;4;82;45;31;1;12
03:00;11;3;80;36;26;1;13
04:00;11;3;73;42;26;1;13
05:00;13;3;66;38;31;1;14
06:00;19;3;58;45;30;1;21
07:00;32;3;43;48;27;3;37
08:00;32;5;50;54;32;5;40
09:00;33;5;49;55;30;7;43
10:00;23;5;58;49;28;4;30
11:00;17;3;70;47;26;3;21
12:00;12;3;88;47;23;1;14
13:00;10;4;101;41;21;0;11
14:00;8;4;112;43;20;0;9
15:00;8;3;119;44;19;0;9
16:00;8;3;110;62;19;0;9
17:00;8;3;116;26;10;0;8
18:00;21;3;100;28;15;1;23
19:00;;;102;40;18;;
20:00;24;2;;28;16;1;26
21:00;47;1;61;45;26;2;51
22:00;47;2;55;52;32;4;54
23:00;31;1;64;48;28;2;33
