CZAS;Dwutlenek azotu;Dwutlenek siarki;Ozon;Ozon 8h;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenki azotu
00:00;8;5;56;27.5;13;8;0;8
01:00;58;52;6;9.625;198;197;41;120
02:00;53;44;5;9.25;164;164;23;88
03:00;43;29;6;8.75;119;118;6;53
04:00;42;27;7;7.875;112;111;6;51
05:00;41;24;6;6.875;94;93;8;54
06:00;37;19;9;6.75;75;74;13;57
07:00;45;20;5;6.5;74;69;33;94
08:00;50;16;3;5.875;53;49;57;136
09:00;55;18;4;5.625;68;62;88;188
10:00;59;22;6;5.75;90;78;99;210
11:00;53;22;8;6;71;70;76;168
12:00;31;13;24;8.125;47;38;18;58
13:00;38;9;25;10.5;44;32;19;67
14:00;33;6;36;13.875;28;12;16;57
15:00;47;7;28;16.75;38;21;24;83
16:00;66;12;15;18.25;55;46;48;139
17:00;98;19;5;18.375;91;80;184;377
18:00;80;21;5;18.25;89;84;94;223
19:00;59;15;12;18.75;53;46;37;115
20:00;51;11;16;17.75;32;32;26;90
21:00;25;8;35;19;27;16;6;34
22:00;21;8;41;19.625;26;13;4;27
23:00;14;7;50;22.375;15;12;2;16
